order_item_id,order_id,product_id,quantity,price
98,39,21,5,171.02
99,39,28,1,407.14
100,40,17,4,200.36
101,40,3,1,96.06
102,41,24,1,171.76
103,41,28,3,407.14
104,42,47,3,843.24
105,43,21,5,171.02
106,43,26,2,227.41
107,43,45,2,972.16
108,43,19,4,867.81
109,44,40,3,258.89
110,44,37,4,161.3
111,45,19,5,867.81
112,45,14,5,540.86
113,45,28,3,407.14
114,46,44,2,13.2
115,46,14,1,540.86
116,46,33,3,747.53
117,46,31,5,885.83
118,47,6,3,718.85
119,47,49,2,953.95
120,47,16,2,886.59
121,48,16,4,886.59
122,49,27,4,823.57
123,49,41,4,723.5
124,49,37,4,161.3
125,49,13,2,809.05
126,50,50,4,919.3
127,51,30,4,220.49
128,51,4,2,102.75
129,51,36,4,498.57
130,51,16,5,886.59
131,51,8,5,285.4
132,52,40,5,258.89
133,52,47,4,843.24
134,52,33,2,747.53
135,52,28,4,407.14
136,53,41,5,723.5
137,53,18,4,235.61
138,54,29,3,913.99
139,54,5,2,605.99
140,54,46,3,913.49
141,55,6,2,718.85
142,55,9,2,701.15
143,55,10,1,163.91
144,55,15,4,88.0
145,55,25,4,989.62
146,56,27,5,823.57
147,56,4,1,102.75
148,56,14,5,540.86
149,56,25,4,989.62
150,57,20,4,458.87
151,57,49,5,953.95
152,57,25,5,989.62
153,58,15,1,88.0
154,58,18,4,235.61
155,58,28,3,407.14
156,58,32,4,151.43
157,59,9,4,701.15
158,59,40,5,258.89
159,59,35,5,405.4
160,59,2,1,148.13
161,60,30,1,220.49
162,60,12,3,849.01
163,61,30,3,220.49
164,61,21,4,171.02
165,62,6,5,718.85
166,62,31,1,885.83
167,62,2,3,148.13
168,63,49,1,953.95
169,64,40,2,258.89
170,65,43,4,120.43
171,65,8,3,285.4
172,65,37,3,161.3
173,65,14,2,540.86
174,66,50,2,919.3
175,67,2,4,148.13
176,67,20,2,458.87
177,67,37,1,161.3
178,67,44,5,13.2
179,67,25,2,989.62
180,68,8,4,285.4
181,68,37,3,161.3
182,68,3,1,96.06
183,68,23,5,638.62
184,68,35,3,405.4
185,69,7,4,425.31
186,69,28,2,407.14
187,69,24,4,171.76
188,69,41,2,723.5
189,70,40,4,258.89
190,70,35,4,405.4
191,70,50,4,919.3
192,71,21,3,171.02
193,71,16,4,886.59
194,71,6,2,718.85
195,72,40,4,258.89
196,72,43,3,120.43
197,72,25,2,989.62
198,72,22,4,673.46
199,72,2,2,148.13
200,73,18,3,235.61
201,73,39,5,599.92
202,73,45,1,972.16
203,74,16,4,886.59
204,75,45,4,972.16
205,75,31,4,885.83
206,76,15,2,88.0
207,76,26,3,227.41
208,76,45,5,972.16
209,77,34,3,749.53
210,77,23,3,638.62
211,77,28,4,407.14
212,77,48,3,206.91
213,77,36,3,498.57
214,78,47,2,843.24
215,79,49,4,953.95
216,79,45,3,972.16
217,79,12,5,849.01
218,79,13,5,809.05
219,79,14,5,540.86
220,80,19,3,867.81
221,80,15,2,88.0
222,81,9,3,701.15
223,81,18,2,235.61
224,81,3,4,96.06
225,81,4,1,102.75
226,81,36,1,498.57
227,82,31,1,885.83
228,82,29,3,913.99
229,82,22,4,673.46
230,82,12,1,849.01
231,83,5,1,605.99
232,83,37,2,161.3
233,83,41,2,723.5
234,83,44,5,13.2
235,84,8,4,285.4
236,84,36,5,498.57
237,85,50,4,919.3
238,85,34,4,749.53
239,86,28,5,407.14
240,86,20,1,458.87
241,86,37,2,161.3
242,86,40,2,258.89
243,86,4,3,102.75
244,87,16,5,886.59
245,87,12,1,849.01
246,88,29,3,913.99
247,88,45,1,972.16
248,88,39,2,599.92
249,88,31,3,885.83
250,89,5,5,605.99
251,89,44,2,13.2
252,89,15,4,88.0
253,89,17,1,200.36
254,90,18,1,235.61
255,90,10,1,163.91
256,91,48,4,206.91
257,91,37,3,161.3
258,91,19,4,867.81
259,91,29,3,913.99
260,91,8,5,285.4
261,92,6,3,718.85
262,92,39,5,599.92
263,92,3,3,96.06
264,92,28,1,407.14
265,93,38,5,600.43
266,93,2,1,148.13
267,93,49,2,953.95
268,93,44,4,13.2
269,93,18,5,235.61
270,94,12,4,849.01
271,94,38,1,600.43
272,94,28,4,407.14
273,95,21,2,171.02
274,95,43,3,120.43
275,95,7,4,425.31
276,96,43,5,120.43
277,96,26,1,227.41
278,96,49,4,953.95
279,97,21,4,171.02
280,97,8,5,285.4
281,97,50,1,919.3
282,98,27,3,823.57
283,98,4,5,102.75
284,98,13,4,809.05
285,98,34,4,749.53
286,99,18,2,235.61
287,99,36,3,498.57
288,100,2,5,148.13
289,101,36,1,498.57
290,101,1,2,744.12
291,101,27,1,823.57
292,102,32,3,151.43
293,102,46,5,913.49
294,103,31,2,885.83
295,103,16,4,886.59
296,103,30,2,220.49
297,103,36,5,498.57
298,104,18,4,235.61
299,105,1,3,744.12
300,105,19,5,867.81
301,105,47,5,843.24
302,106,29,4,913.99
303,106,35,3,405.4
304,107,25,2,989.62
305,107,30,5,220.49
306,107,21,4,171.02
307,107,13,2,809.05
308,107,45,4,972.16
309,108,46,2,913.49
310,108,25,4,989.62
311,108,43,1,120.43
312,108,42,2,753.36
313,109,7,4,425.31
314,109,29,1,913.99
315,109,34,2,749.53
316,110,31,3,885.83
317,111,42,5,753.36
318,111,6,4,718.85
319,111,22,3,673.46
320,111,44,4,13.2
321,112,5,2,605.99
322,112,16,1,886.59
323,112,41,4,723.5
324,112,44,1,13.2
325,112,19,1,867.81
326,113,2,1,148.13
327,113,3,3,96.06
328,113,21,3,171.02
329,114,16,4,886.59
330,114,34,5,749.53
331,115,12,5,849.01
332,115,6,4,718.85
333,116,38,3,600.43
334,116,10,4,163.91
335,116,15,3,88.0
336,116,30,1,220.49
337,117,11,3,111.18
338,117,5,4,605.99
339,117,29,3,913.99
340,117,23,4,638.62
341,117,38,3,600.43
342,118,7,3,425.31
343,118,16,5,886.59
344,118,25,3,989.62
345,118,37,3,161.3
346,119,1,1,744.12
347,119,37,5,161.3
348,119,44,4,13.2
349,120,23,3,638.62
350,120,15,2,88.0
351,120,41,1,723.5
352,120,13,1,809.05
353,120,40,3,258.89
354,121,24,3,171.76
355,121,47,4,843.24
356,121,9,2,701.15
357,121,6,2,718.85
358,121,19,2,867.81
359,122,33,3,747.53
360,122,18,3,235.61
361,122,11,1,111.18
362,122,17,4,200.36
363,122,31,1,885.83
364,123,36,1,498.57
365,123,24,3,171.76
366,123,6,5,718.85
367,123,26,1,227.41
368,124,38,3,600.43
369,124,25,1,989.62
370,124,41,2,723.5
371,125,36,1,498.57
372,125,21,4,171.02
373,125,40,3,258.89
374,125,15,4,88.0
375,125,42,1,753.36
376,126,20,4,458.87
377,127,35,4,405.4
378,127,9,4,701.15
379,128,38,4,600.43
380,128,48,1,206.91
381,128,47,4,843.24
382,128,10,5,163.91
383,129,45,3,972.16
384,130,16,3,886.59
385,130,24,5,171.76
386,130,7,3,425.31
387,130,44,1,13.2
388,131,8,1,285.4
389,131,30,2,220.49
390,132,4,3,102.75
391,133,14,2,540.86
392,133,5,2,605.99
393,133,49,3,953.95
394,133,36,2,498.57
395,133,38,5,600.43
396,134,9,3,701.15
397,134,35,2,405.4
398,135,1,2,744.12
399,135,23,5,638.62
400,136,17,2,200.36
401,136,4,4,102.75
402,137,31,4,885.83
403,138,38,5,600.43
404,138,7,1,425.31
405,138,29,5,913.99
406,138,33,3,747.53
407,138,15,4,88.0
408,139,31,4,885.83
409,140,46,3,913.49
410,140,29,5,913.99
411,140,5,2,605.99
412,140,6,1,718.85
413,141,41,4,723.5
414,141,38,5,600.43
415,141,36,5,498.57
416,141,46,3,913.49
417,141,21,4,171.02
418,142,7,5,425.31
419,142,45,2,972.16
420,142,8,4,285.4
421,142,42,4,753.36
422,143,30,1,220.49
423,143,26,3,227.41
424,143,27,4,823.57
425,144,10,1,163.91
426,144,44,1,13.2
427,144,31,1,885.83
428,145,48,3,206.91
429,146,38,5,600.43
430,147,27,3,823.57
431,148,19,5,867.81
432,149,37,5,161.3
433,150,15,3,88.0
434,150,7,1,425.31
435,150,23,3,638.62
436,150,36,5,498.57
437,151,50,1,919.3
438,151,40,5,258.89
439,151,44,3,13.2
440,151,42,1,753.36
441,151,36,2,498.57
442,152,23,2,638.62
443,152,1,5,744.12
444,152,12,4,849.01
445,153,6,5,718.85
446,154,30,3,220.49
447,154,22,3,673.46
448,154,11,5,111.18
449,154,24,5,171.76
450,155,11,5,111.18
451,155,49,1,953.95
452,156,29,4,913.99
453,156,43,5,120.43
454,156,28,4,407.14
455,157,49,1,953.95
456,157,33,3,747.53
457,158,44,5,13.2
458,158,38,3,600.43
459,158,32,1,151.43
460,159,4,2,102.75
461,159,1,3,744.12
462,159,14,3,540.86
463,159,20,3,458.87
464,159,50,1,919.3
465,160,12,2,849.01
466,160,9,5,701.15
467,160,25,5,989.62
468,160,35,3,405.4
469,161,28,1,407.14
470,162,37,4,161.3
471,162,28,3,407.14
472,162,26,1,227.41
473,163,11,3,111.18
474,163,40,1,258.89
475,163,30,4,220.49
476,164,38,4,600.43
477,164,26,3,227.41
478,164,34,3,749.53
479,164,6,2,718.85
480,165,33,1,747.53
481,166,50,3,919.3
482,166,23,2,638.62
483,167,17,2,200.36
484,167,13,5,809.05
485,168,50,4,919.3
486,168,41,4,723.5
487,169,29,5,913.99
488,169,44,3,13.2
489,169,37,3,161.3
490,169,42,2,753.36
491,169,41,4,723.5
492,170,41,1,723.5
493,170,20,3,458.87
494,170,18,5,235.61
495,170,38,1,600.43
496,171,3,1,96.06
497,171,4,1,102.75
498,171,24,5,171.76
499,171,19,5,867.81
500,172,38,4,600.43
501,172,36,5,498.57
502,172,48,2,206.91
503,172,3,3,96.06
504,173,10,1,163.91
505,173,4,5,102.75
506,173,29,2,913.99
507,173,7,1,425.31
508,173,22,2,673.46
509,174,34,3,749.53
510,174,40,3,258.89
511,174,11,4,111.18
512,174,24,4,171.76
513,175,4,3,102.75
514,175,41,1,723.5
515,175,42,5,753.36
516,175,22,4,673.46
517,175,5,3,605.99
518,176,22,5,673.46
519,176,6,2,718.85
520,177,9,3,701.15
521,177,39,5,599.92
522,177,46,4,913.49
523,177,6,3,718.85
524,178,42,4,753.36
525,179,24,3,171.76
526,180,50,2,919.3
527,180,32,2,151.43
528,180,13,2,809.05
529,181,33,5,747.53
530,182,43,3,120.43
531,183,39,2,599.92
532,183,25,2,989.62
533,184,47,1,843.24
534,184,29,4,913.99
535,185,40,4,258.89
536,185,19,2,867.81
537,185,49,5,953.95
538,185,48,2,206.91
539,186,24,5,171.76
540,186,44,4,13.2
541,187,33,2,747.53
542,187,34,5,749.53
543,187,27,2,823.57
544,187,11,3,111.18
545,188,36,5,498.57
546,188,7,1,425.31
547,188,46,3,913.49
548,189,29,4,913.99
549,189,33,1,747.53
550,189,10,2,163.91
551,190,27,1,823.57
552,191,16,3,886.59
553,191,25,2,989.62
554,191,6,1,718.85
555,192,10,3,163.91
556,192,9,4,701.15
557,192,3,2,96.06
558,193,40,3,258.89
559,193,1,2,744.12
560,193,6,2,718.85
561,193,2,5,148.13
562,194,28,3,407.14
563,194,8,1,285.4
564,194,50,1,919.3
565,194,19,2,867.81
566,194,16,4,886.59
567,195,5,5,605.99
568,195,8,1,285.4
569,195,32,5,151.43
570,195,39,5,599.92
571,196,28,3,407.14
572,196,1,2,744.12
573,196,40,5,258.89
574,197,34,3,749.53
575,198,33,1,747.53
576,198,36,4,498.57
577,198,2,3,148.13
578,198,25,3,989.62
579,198,31,1,885.83
580,199,16,1,886.59
581,199,47,5,843.24
582,199,43,3,120.43
583,200,35,2,405.4
584,200,22,4,673.46
585,200,42,4,753.36
